gear_up_for_war_2_desc;At the outbreak of the war the United States pursued a policy of non-intervention, avoiding conflict while trying to broker a peace. When a German U-boat sank the British liner Lusitania in 1915, with 128 Americans aboard, U.S. President Woodrow Wilson claimed that 'America is too proud to fight' but demanded an end to attacks on passenger ships. Germany complied. Wilson unsuccessfully tried to mediate a settlement. However, he also repeatedly warned that the U.S.A. would not tolerate unrestricted submarine warfare, in violation of international law and U.S. ideas of human rights.;;Bei Ausbruch des Krieges verfolgten die USA eine Politik der Nichteinmischung, das änderte sich aber nach der Versenkung des britischen Passagierdampfers Lusitania 1915 durch ein deutsches U-Boot, bei der 128 Amerikaner an Bord waren. Dies kommentierte Päsident Wilson zwar mit der Aussage: "Amerika ist zu stolz um zu kämpfen", verlangte aber ein Ende der Angriffe auf Passagierdampfer. Deutschland lenkte ein. Wilson versuchte sein Handeln zu rechtfertigen, warnte aber ausschließlich vor einem uneingeschränkten U-Bootkrieg, den die USA nicht tolerieren werde, da er mit internationalen Gesetzen und mit der amerikanischen Auffassung der Menschenrechte nicht vereinbar sei.;;;;;;;;;x,,;;;
new_deal_title;Pre-World War I reform and economic volatility;;Vorkriegsreformen und wirtschaftliche Schwankungen;;;;;;;;;x,,;;;
new_deal_desc;At the turn of the 20th century, the United States was about to enter a new era. Most areas of the country had become populated, the frontier had disappeared, and the country was about to become a world power. The United States had survived civil and foreign wars, suffered through recessions and panics, and had seen the formation of a business economy that would eventually produce the highest standard of living on Earth.;;Während der Jahrhundertwende war die USA dabei, eine neue Ära zu beginnen. Der größte Teil des Landes, war inzwischen bevölkert, die Grenzen verschwanden und man war auf dem Weg zu einer Großmacht. Man überlebte Kriege und den Bürgerkrieg, litt unter Paniken und Rezessionen, und war dabei eine Wirtschaft aufzubauen, die den weltweit höchsten Lebensstandart ermöglicht.;;;;;;;;;x,,;;;
second_balkans;Bulgarian Aggression;;Bulgarische Aggression;;;;;;;;;x,,;;;
second_balkans_bulg;Claim Northern Macedonia;;Nord-Mazedonien beanspruchen;;;;;;;;;x,,;;;
second_balkans_setup;The Second Balkans War;;2.Balkankrieg;;;;;;;;;x,,;;;
mexico_revolution;Mexican Revolution;;Mexikanische Revolution;;;;;;;;;x,,;;;
mexico_revolution_setup;End the dictatorship!;;Das Ende der Diktatur!;;;;;;;;;x,,;;;
central_powers;Central Powers;;Mittelmächte;;;;;;;;;x,,;;;
pact_of_steel_2;Dual Alliance;;Zweibund;;;;;;;;;x,,;;;
disorganized_soviets_2;Disorganised Army;;Unorganisierte Armee;;;;;;;;;x,,;;;
triple_entente;Triple Entente;;Triple Entente;;;;;;;;;x,,;;;
us_army;USA at War;;USA im Krieg;;;;;;;;;x,,;;;
us_nd;USA 1910;;USA 1910;;;;;;;;;x,,;;;
us_new_deal;Production Orientation;;Produktionsorientierung;;;;;;;;;x,,;;;
master_puppets;Master of Puppets;;Herr der Marionetten;;;;;;;;;x,,;;;
auh_buildup;Buildup;;Aufbau;;;;;;;;;x,,;;;
wargoal_bulgaria_title;Add wargoal: Bulgaria;;Füge Kriegsziel hinzu: Bulgarien;;;;;;;;;x,,;;;
wargoal_bulgaria_desc;Fall of Bulgaria;;Der Fall Bulgariens;;;;;;;;;x,,;;;
wargoal_romania_title;Add wargoal: Rumania;;Füge Kriegsziel hinzu: Rumänien;;;;;;;;;x,,;;;
wargoal_romania_desc;Fall of Rumania;;Der Fall Rumäniens;;;;;;;;;x,,;;;
axis_romania;Fall of Rumania;;Der Fall Rumäniens;;;;;;;;;x,,;;;
axis_romania_setup;Defeat the Rumanians!;;Besiegt die Rumänen!;;;;;;;;;x,,;;;
allies_bulgaria;Fall of Bulgaria;;Der Fall Bulgariens;;;;;;;;;x,,;;;
allies_bulgaria_setup;Defeat the Bulgarians!;;Besiegt die Bulgaren!;;;;;;;;;x,,;;;
roma_oil;Rumanian Oil Fields;;Rumänische Ölfelder;;;;;;;;;x,,;;;
roma_oil_2;Rumanian Oil Fields (Allies);;Rumänische Ölfelder;;;;;;;;;x,,;;;
