ID;TitleKey;Title;Tag
255;DH_EVENT_2001570_TITLE;The naval mission returns home from the Ottoman Empire;ENG
256;DH_EVENT_2191582_TITLE;Overhaul coastal defence at the Dardanelles;GER
257;DH_EVENT_2145528_TITLE;The Dardanelles defense network will be improved;TUR
258;DH_EVENT_2145529_TITLE;Overhaul of Dardanelles defense network completed;TUR
259;DH_EVENT_2001571_TITLE;Protect the oil fields in southern Persia;ENG
260;DH_EVENT_2031002_TITLE;The British Empire occupies southern territories;PER
261;DH_EVENT_2104550_TITLE;Occupy northern Persia;RUS
262;DH_EVENT_2031003_TITLE;Russian Empire occupies northern territories;PER
263;DH_EVENT_2185006_TITLE;Leave southern Persia;ENG
264;DH_EVENT_2104551_TITLE;Leave northern Persia;PER
267;DH_EVENT_2145531_TITLE;The German military mission leaves the country;TUR
268;DH_EVENT_2191583_TITLE;The military mission to the Ottoman Empire returns home;GER
302;DH_EVENT_2193501_TITLE;Polish–Soviet War;POL
368;DH_EVENT_2084503_TITLE;Evacuate through Albania?;SER
369;DH_EVENT_2084504_TITLE;Evacuate through Albania!;SER
374;DH_EVENT_2007501_TITLE;Sovnarkom formed;SOV
376;DH_EVENT_2007503_TITLE;The economy is collapsing!;SOV
378;DH_EVENT_2007505_TITLE;Dissolution of the Constituent Assembly;SOV
379;DH_EVENT_2007506_TITLE;Decrees on Land;SOV
380;DH_EVENT_2007507_TITLE;War communism - phase one;SOV
381;DH_EVENT_2007508_TITLE;Prodrazvyorstka;SOV
382;DH_EVENT_2007509_TITLE;War communism - phase two;SOV
383;DH_EVENT_2007510_TITLE;War communism - phase three;SOV
384;DH_EVENT_2007511_TITLE;New Economy Policy;SOV
385;DH_EVENT_2007512_TITLE;Creation of the Red Army;SOV
386;DH_EVENT_2007513_TITLE;Order N.228;SOV
387;DH_EVENT_2007514_TITLE;Mass levy;SOV
388;DH_EVENT_2007515_TITLE;Peasants' rebellion;SOV
389;DH_EVENT_2007516_TITLE;Tambov rebellion;SOV
390;DH_EVENT_2007517_TITLE;Kronstadt rebellion;SOV
391;DH_EVENT_2007518_TITLE;One of our ministers has died;SOV
392;DH_EVENT_2007519_TITLE;Lenin withdraws from politics;SOV
393;DH_EVENT_2007520_TITLE;Foundation of USSR;SOV
404;DH_EVENT_2007533_TITLE;The Arkhangelsk Government;SOV
405;DH_EVENT_2007534_TITLE;Admiral Koltchak;SOV
406;DH_EVENT_2007535_TITLE;Cossacks' Uprising;SOV
407;DH_EVENT_2007536_TITLE;Red Terror;SOV
413;DH_EVENT_2191508_TITLE;The Fall of Serbia;GER
414;DH_EVENT_2191509_TITLE;Bulgaria joins the Central Powers!;GER
415;DH_EVENT_2191510_TITLE;Promises to Bulgaria;AUH
416;DH_EVENT_2191509_TITLE;Bulgaria joins the Central Powers!;GER
418;DH_EVENT_2191515_TITLE;Sailor's mutiny!;GER
419;DH_EVENT_2191516_TITLE;The Revolt spreads!;GER
420;DH_EVENT_2191517_TITLE;Two republics proclaimed...;GER
421;DH_EVENT_2191518_TITLE;Creation of Council of the People's Deputies;GER
422;DH_EVENT_2191519_TITLE;Official abdication of Wilhelm II;GER
438;DH_EVENT_2191540_TITLE;Japanese Ultimatum;GER
445;DH_EVENT_2191546_TITLE;Appoint Von Falkenhayn as Chief of Staff;GER
479;DH_EVENT_2192529_TITLE;Agreement with Bulgaria;AUH
486;DH_EVENT_2233500_TITLE;Letters with Henry MacMahon;HJZ
487;DH_EVENT_2233501_TITLE;England promises a great Arab Empire;HJZ
488;DH_EVENT_2233502_TITLE;The Great Arab Revolt;HJZ
489;DH_EVENT_2233503_TITLE;T.E. Lawrence arrives;HJZ
490;DH_EVENT_2233504_TITLE;Supplies from England;HJZ
491;DH_EVENT_2233505_TITLE;Supplies from England;HJZ
492;DH_EVENT_2250500_TITLE;Launch Raids on Tucson;---
493;DH_EVENT_2250501_TITLE;Raid result : resistance encountered;MXR
494;DH_EVENT_2250502_TITLE;Raid result : no resistance encountered;MXR
495;DH_EVENT_2250503_TITLE;Launch Raids on El Paso;---
496;DH_EVENT_2250504_TITLE;Launch Raids on San Antonio;MXR
497;DH_EVENT_2250505_TITLE;Launch Raids on Corpus Christi;MXR
498;DH_EVENT_2250506_TITLE;Launch Raids on San Diego;MXR
499;DH_EVENT_2250507_TITLE;New recruits;MXR
500;DH_EVENT_2250508_TITLE;Victory in Mexico city!;MXR
502;DH_EVENT_2038550_TITLE;Victory in Mexico city!;MXR
504;DH_EVENT_2038552_TITLE;Captured supplies;MXR
505;DH_EVENT_2038553_TITLE;Smuggled supplies;MXR
506;DH_EVENT_2038554_TITLE;New recruits;MXR
517;DH_EVENT_2049510_TITLE;The Matamoros Incident have been settled;USA
518;DH_EVENT_2049511_TITLE;Leave Veracruz;USA
519;DH_EVENT_2049512_TITLE;Tucson raided!;USA
520;DH_EVENT_2049513_TITLE;Tucson raided!;USA
521;DH_EVENT_2049514_TITLE;El Paso raided!;USA
522;DH_EVENT_2049515_TITLE;El Paso raided!;USA
523;DH_EVENT_2049516_TITLE;San Antonio raided!;USA
524;DH_EVENT_2049517_TITLE;San Antonio raided!;USA
525;DH_EVENT_2049518_TITLE;Corpus Christii raided!;USA
526;DH_EVENT_2049519_TITLE;Corpus Christii raided!;USA
527;DH_EVENT_2049520_TITLE;San Diego raided!;USA
528;DH_EVENT_2049521_TITLE;San Diego raided!;USA
529;DH_EVENT_2049522_TITLE;Intervention against Mexican rebels;USA
530;DH_EVENT_2049523_TITLE;Ask for full transit agreement with Mexico;USA
531;DH_EVENT_2049524_TITLE;Mexico rejects our proposal;USA
532;DH_EVENT_2049525_TITLE;Full scale invasion of Mexico;USA
533;DH_EVENT_2049535_TITLE;Ask for full transit agreement with Mexico;USA
534;DH_EVENT_2049536_TITLE;Mexico rejects our proposal;USA
535;DH_EVENT_2049537_TITLE;Full scale invasion of Mexico;USA
536;DH_EVENT_2049526_TITLE;Restore diplomatic relations with Mexico;USA
541;DH_EVENT_2049538_TITLE;Occupation of Haiti;USA
542;DH_EVENT_2049539_TITLE;Occupation of the Dominican Republic;USA
543;DH_EVENT_2049540_TITLE;The Contestado War;BRA
544;DH_EVENT_2173500_TITLE;Koltchak arrives!;WHR
545;DH_EVENT_2173501_TITLE;Travel to Omsk;WHR
546;DH_EVENT_2173502_TITLE;Coup Omsk and Samara;WHR
547;DH_EVENT_2173503_TITLE;Join the White Army;WHR
548;DH_EVENT_2173504_TITLE;Janin and the Czechoslovak Legion;WHR
549;DH_EVENT_2173505_TITLE;Problems with the Czechoslovak Legion;WHR
550;DH_EVENT_2173506_TITLE;Report Janin's behavior to the French;WHR
551;DH_EVENT_2173507_TITLE;Janin remains in Russia;WHR
552;DH_EVENT_2173508_TITLE;Janin is fired;WHR
553;DH_EVENT_2173509_TITLE;Omsk is lost!;WHR
554;DH_EVENT_2173510_TITLE;The Czechoslovak Legion defects;WHR
555;DH_EVENT_2173511_TITLE;Koltchak executed!;WHR
556;DH_EVENT_2173513_TITLE;Move capitol to Petrograd;WHR
557;DH_EVENT_2173512_TITLE;Move capitol to Moscow;WHR
558;DH_EVENT_2173514_TITLE;Move capitol to Tsarystine;WHR
560;DH_EVENT_2173516_TITLE;Move capitol to Ekaterinburg;WHR
561;DH_EVENT_2173517_TITLE;White Terror;WHR
562;DH_EVENT_2173518_TITLE;Form Russia;RUS
563;DH_EVENT_2168500_TITLE;The Volunteers army;WHR
564;DH_EVENT_2168501_TITLE;New recruits;WHR
565;DH_EVENT_2168502_TITLE;New recruits;WHR
566;DH_EVENT_2168503_TITLE;Cossacks rise against the Bolsheviks;WHR
574;DH_EVENT_2147500_TITLE;The Arkhangelsk Government;WHR
582;DH_EVENT_2147508_TITLE;The Basmachi;WHR
583;DH_EVENT_2147509_TITLE;Ismail Enver joins the movement;WHR
4001;EVTNAME4001;Coup d'état;---
4002;EVTNAME4002;Coup d'état;---
4003;EVTNAME4003;Left-wing Coup d'état;---
4004;EVTNAME4004;Left-wing Coup d'état;---
4005;EVTNAME4005;Right-wing Coup d'état;---
4006;EVTNAME4006;Right-wing Coup d'état;---
5057;EVTNAME5057;Government overthrown!;---
5058;EVTNAME5058;Coup attempt fails;---
8001;WargoalE1;Plans for Russia;---
8002;WargoalE2;Plans for France;---
8003;WargoalE3;Plans for England;---
8004;WargoalE4;Plans for Romania;---
8005;WargoalE5;Plans for Bulgaria;---
8006;WargoalE6;Plans for Germany;---
8007;WargoalE7;Plans for Austria;---
8008;WargoalE8;Plans for the Ottomans;---
100001;Polish_Troops_Title;Reinforcements Have Arrived;POL
100002;Polish_Troops_Title;Reinforcements Have Arrived;POL
100003;Polish_Troops_Title;Reinforcements Have Arrived;POL
100004;Polish_Troops_Title;Reinforcements Have Arrived;POL
100005;Polish_Troops_Title;Reinforcements Have Arrived;POL
100006;Polish_Troops_Title;Reinforcements Have Arrived;POL
100007;Polish_Troops_Title;Reinforcements Have Arrived;POL
100008;Polish_Troops_Title;Reinforcements Have Arrived;POL
100010;Desperate_Title;Rally to Warsaw's Defence!;POL
100011;Desperate_Title;Rally to Warsaw's Defence!;POL
100015;Polish_Troops_Title;Reinforcements Have Arrived;POL
100017;Polish_Troops_Title;Reinforcements Have Arrived;POL
100018;Ukraine_Control_Title;The Ukraine is now under our control;SOV
100020;Russian_Troops_Title;Reinforcements Have Arrived;SOV
100022;Ukraine_Control_Title;The Ukraine is now under our control;POL
100024;Polish_Troops_Title;Reinforcements Have Arrived;POL
100074;CHIE3;Three Point Agreement;CHI
100075;CHIE5;Second Guangzhou Uprising;QIN
100076;CHIE6;Protect the Yellow Dragon Flag!;---
100077;CHIE7;Something you must keep in mind;---
100079;CHIE9;Four Powers Consortium;QIN
100100;JAPE1;Japan–Korea Annexation Treaty;---
100110;ENGE1;King Edward VII dies;ENG
100111;ENGE2;South Africa Independence;---
100113;ITAE1;Italo-Turkish War;---
100114;TURE1;Treaty of Lausanne;---
100115;FRAE1;Treaty of Fez;FRA
100116;FRAE1;Treaty of Fez;---
100117;SERE1;The Balkan League;---
100118;SERE1;The Balkan League;---
100119;TURE2;Albanian Uprising!;TUR
100120;TURE3;Assembly of Vlorë;---
100122;TURE4;First Balkan War;---
100123;TURE4;First Balkan War;---
100124;TURE4;First Balkan War;---
100125;TURE5;Treaty of London;---
100126;TURE5;Treaty of London;---
100127;TURE5;Treaty of London;---
100128;TURE6;Greek Serbian Alliance of 1913;---
100129;TURE6;Greek Serbian Alliance of 1913;---
100130;TURE7;Second Balkan War;---
100131;TURE7;Second Balkan War;---
100132;TURE8;Intervention;---
100133;TURE9;Treaty of Bucharest;BUL
100134;TURE9;Treaty of Bucharest;BUL
100135;TURE9;Treaty of Bucharest;BUL
100136;TURE9;Treaty of Bucharest;BUL
100137;GERE1;Agadir Crisis;GER
100138;GERE1;Agadir Crisis;---
100139;GERE1;Agadir Crisis;---
100140;ENGE3;Government of Ireland Act 1914;ENG
100141;HUNE1;Franz Ferdinand is dead!;AUH
100142;AUHE1;July Crisis;---
100143;RUSE1;Mobilize against Austria Hungary;---
100144;HUNE4;Dual Alliance;---
100145;GERE2;Schlieffen Plan;---
100146;TURE10;Ottoman–German Alliance;---
100147;MTNE1;War with Montenegro;---
100148;SERE2;Austrian Demands;---
100149;RUSE2;Petrograd;RUS
100150;RUSE3;Sikorsky Ilya Muromets;---
100151;ENGE4;Cyprus Annexation;---
100152;ENGE4;Cyprus Annexation;---
100200;CRTE1;End of the Cretan State;---
100201;USAE2;Organization of American States;USA
100202;PORE1;5 October 1910 revolution;POR
100203;SIAE1;King Chulalongkorn dies;SIA
100204;OLYE1;The Olympic Games;---
100205;CHCE1;Yuan Shikai's Consolidation of Power;CHI
100206;USAE3;Sinking of the Titanic!;ENG
100300;USAE1;Occupation of Nicaragua;---
100301;MILACCESS1;Treaty of Lausanne - End of Cleanup;TUR
100302;MILACCESS2;Treaty of London - End of Cleanup;SER
100303;TURE1z;Treaty of Lausanne;---
100304;ITAE1;Italo-Turkish War;---
100310;TURE5;Treaty of London;---
100311;MILACCESS2;Treaty of London - End of Cleanup;SER
100312;TURE5;Treaty of London;---
100313;TURE5;Treaty of London;---
100314;balkbul;Bulgaria has Capitulated!;---
100320;TURE5;Treaty of London;---
100322;TURE5;Treaty of London;---
100323;TURE5;Treaty of London;---
100324;balkmtn;Montenegro has Capitulated!;---
100330;TURE5;Treaty of London;---
100332;TURE5;Treaty of London;---
100333;TURE5;Treaty of London;---
100334;balkgre;Greece has Capitulated!;---
100340;TURE5;Treaty of London;---
100342;TURE5;Treaty of London;---
100343;TURE5;Treaty of London;---
100344;balkserb;Serbia has Capitulated!;---
100360;TURE9;Treaty of Bucharest;---
100361;TURE9;Treaty of Bucharest;---
100362;TURE9;Treaty of Bucharest;---
100401;rasp;Rasputin Murdered!;RUS
100402;abdic;Tsar Nicholas Abdicates!;RUS
100403;ruscivil;Russian Civil War;SOV
100500;panama-open-title;We did it!  The Panama Canal is officially opened.;USA
100501;---;reset-not-for-display;LUX
100502;USAE6;US Declaration of Neutrality;USA
100503;EVT1910_100503_TITLE;Protect American lives from the Mexican Revolutionaries;---
100504;EVT1914_2008004_NAME;US Volunteers for Canada;USA
100506;EVT1914_2008002_NAME;Atrocities commited in Belgium;BEL
100508;EVT1914_2001556_NAME;Declare North Sea a War Zone;---
100509;ENGE7;Purchase of the Almirante Latorre;ENG
100510;EVT1914_2001560_NAME;Commence Zeppelin campaign;---
100511;EVT1914_2001560_NAME;Commence Zeppelin campaign;---
100512;USAE7;Unrestricted Submarine Warfare;GER
100514;EVT1914_2001555_NAME;The sinking of the steamer Harpalyce;USA
100516;USAE8;The sinking of the Lusitania;USA
100517;EVT1914_2008005_NAME;US Ultimatium to Stop Submarine attacks;GER
100518;EVT1914_2008006_NAME;Break the UK Blockade;---
100520;EVT1914_2001557_NAME;Battle of Jutland;USA
100521;EVT1914_2008007_NAME;Resume the Submarine War;GER
100522;EVT1914_2001554_NAME;Black Tom explosion;USA
100524;EVT1914_2001559_NAME;Kingsland explosion;USA
100526;EVT1914_2001558_NAME;Zimmermann Telegram Intercepted;---
100528;EVT1914_2008003_NAME;Chemical Weapons Factory detected;USA
100530;EVT1914_2008008_NAME;Tsar Nicholas Abdicates!;---
100532;ENGE8;A Surge of Volunteers;USA
100540;EVENT100522_TITLE;Brussels has Fallen;GER
100701;TURE11;Pursuit of Goeben and Breslau;TUR
100801;Polish_Troops_Title;Reinforcements Have Arrived;LIT
100810;EVT1914_2008100_NAME;Galacian Army Mutiny;SOV
100811;EVT1914_2008100_NAME;Galacian Army Mutiny;---
100814;EVT1914_2008101_NAME;Danzig dock workers strike;POL
100901;AUHE2;Franz Joseph I dies;AUH
100902;JAPE4;Emperor Meiji dies;JAP
100905;BELE1;Charles de Broqueville appointed Prime Minister;BEL
100906;LUXE1;Grand Duke William IV Dies!;LUX
100907;DENE1;Frederick VIII Dies!;DEN
100908;ROME1;Carol I Dies!;ROM
100909;GREE1;George I Assasinated!;GRE
100910;ETHE1;Menelik II Dies!;ETH
100911;OMNE1;Faisal bin Turki Dies!;OMN
100912;NEPE1;King Prithvi Dies!;NEP
100913;ASTE1;William Ward Replaced!;AST
100914;ASTE2;Thomas Denman Replaced!;AST
100915;NZLE1;William Plunket Replaced!;NZL
100916;NZLE2;The Lord Islington Replaced!;NZL
100917;---;CANE1;CAN
100918;ARGE1;Roque Sáenz Peña Dies!;ARG
100919;CHLE1;Pedro Montt Dies!;CHL
101002;---;EVT1910_101002_TITLE;MEX
101004;EVT1910_101004_TITLE;Mexican Congress rejects claims of fraud;MEX
101005;EVT1910_101005_TITLE;Madero plans the revolution;MEX
101006;EVT1910_101006_TITLE;Madero has crossed the Rio Grande and calls for Revolution;MEX
101008;EVT1910_101008_TITLE;The Magonistas have rebelled in Baja California!;MEX
101010;EVT1910_101010_TITLE;US Army build up on Mexican borders!;---
101012;EVT1910_101012_TITLE;Zapata's supporters join the Rebel cause!;MEX
101014;EVT1910_101014_TITLE;Attempted coup d'etat of Diaz regime!;MEX
101016;EVT1910_101016_TITLE;Diaz is overthrown by a coup!;---
101018;EVT1910_101018_TITLE;The coup attempt of Diaz has failed!;---
101020;EVT1910_101020_TITLE;Diaz Flees;MEX
101022;EVT1910_101022_TITLE;Diaz gives up the fight;---
101024;EVT1910_101024_TITLE;End of the Diaz Regime;---
101026;EVT1910_101026_TITLE;New Elections vote Madero into power;MXR
101028;EVT1910_101028_TITLE;Zapata's rebels rise up in rebellion;MXR
101030;EVT1910_101030_TITLE;General Bernardo Reyes leads a rebellion;MXR
101032;EVT1910_101032_TITLE;General Orozco leads a rebellion in the Northern states;MXR
101034;EVT1910_101034_TITLE;Rebellion in the Gulf state of Veracruz!;MXR
101036;EVT1910_101036_TITLE;The Madero Government of Mexican must go!;---
101038;EVT1910_101038_TITLE;The Ten Tragic days of fighting in Mexico City!;MXR
101040;EVT1910_101040_TITLE;The Ten Tragic days of fighting in Mexico City!;MXR
101042;EVT1910_101042_TITLE;Huerta has taken control of Mexico;MXR
101044;EVT1910_101044_TITLE;Madero has survived the coup attempt;MXR
101046;---;EVT1910_101046_TITLE;MXR
123446;EVTNAME123446;Fall of Murmansk;RUS
123465;EVTNAME123465;Fall of Narvik;NOR
190001;WARE1;Treaty of Brest-Litovsk;RUS
190002;WARE2;Treaty of Versailles;---
190003;WARE3;Treaty of Trianon and Saint-Germain-en-Laye;---
190004;WARE4;Armistice of Mudros;---
190005;WARE5;Fall of the British Empire;---
190006;WARE5;Fall of the British Empire;---
190007;IREE1;Easter Rising!;ENG
190008;WARE4;Armistice of Mudros;---
190009;WARE4;Armistice of Mudros;---
190010;WARE57;Fall of France;---
190012;WARE9;Treaty of Bucharest (1918);---
190013;WARE10;Treaty of Neuilly-sur-Seine;---
190501;ENGE6;Seizure of the Sultan Osman I and Reshadieh;---
190502;ENGE8;A Surge of Volunteers;---
200001;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200002;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200003;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200004;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200005;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200006;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200007;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200008;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200009;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200010;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200011;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200012;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200014;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200016;Russian_Troops_Title;Reinforcements Have Arrived;SOV
200018;Brusilovs_letter_Title;Brusilov's appeal;SOV
200020;Latvian_Garrison_Title;The Latvian Garrison Has Arrived;SOV
200030;Lithuania_Title;Lithuanian troops join the Bolsheviks;SOV
200032;Polish_Troops_Title;Reinforcements Have Arrived;---
200034;Russian_Withdraw_Title;Bolshevik troops have been ordered to withdraw;SOV
200036;Russian_Withdraw_Title;Bolshevik troops have been ordered to withdraw;SOV
200040;Desperate_Russian_Troops_Title;Emergency reinforcements have arrived;SOV
300001;NEWE1;Comet Sighted;---
300002;NEWE2;South Pole Reached;---
