EVT1910_101014_DESC;With rebel troops at the outskirts of Mexico City a group of young officers attempt a coup d'etat to bring the revolution to an end.;;;;;;;;;;;;;x,
EVT1910_101016_TITLE;Diaz is overthrown by a coup!;;;;;;;;;;;;;x,
EVT1910_101016_DESC;A group of young officers succeeded in a coup d'etat to bring down Porfirio Diaz from the office of President and bring the revolution to an end.;;;;;;;;;;;;;x,
EVT1910_101016_OPTA;We have lost to Madero's rebels.;;;;;;;;;;;;;x,
EVT1910_101018_TITLE;The coup attempt of Diaz has failed!;;;;;;;;;;;;;x,
EVT1910_101018_DESC;A group of young officers failed in a coup d'etat attempt to bring down Porfirio Diaz from the office of President.  The fighting will continue.;;;;;;;;;;;;;x,
EVT1910_101020_TITLE;Mexico City has fallen to the Rebels!;;;;;;;;;;;;;x,
EVT1910_101020_DESC;The capture of Ciudad Juarez and the threat to Mexico City has sealed the fate of the regime.;;;;;;;;;;;;;x,
EVT1910_101020_OPTA;We have lost to Madero's rebels.;;;;;;;;;;;;;x,
EVT1910_101022_TITLE;Mexico City has been captured!;;;;;;;;;;;;;x,,
EVT1910_101022_DESC;Diaz and his vice president Ramon Corral will resign and have agreed to end the insurrection.;;;;;;;;;;;;;x,,
EVT1910_101022_OPTA;Stand down and send our rebel fighters home.;;;;;;;;;;;;;x,,
EVT1910_101024_TITLE;End of the Diaz Regime;;;;;;;;;;;;;x,,
EVT1910_101024_DESC;On 17th May 1911 Diaz announced that both he and his vice president Ramon Corral would resign and signed an agreement ending the insurrection.,"It provided that until elections could be held, Francisco Leon de Barra the former Mexican ambassador to the United States would serve as interim president of Mexico.",Diaz resigned on the 25th May 1911 and went into exile.  The first phase of the Mexican Revolution has ended. The revolution would however go on for another nine years.;;;;;;;;;;;;;x
EVT1910_101024_OPTA;Diaz leaves for France in exile.;;;;;;;;;;;;;x,,
